Sample 	Province 	Ceftriaxone    	Spectinomycin     	Ciprofloxine    	TRNG   	PPNG    
NG051	GX	0,004	16	4	0	0
NG011	ZJ	0,008	16	4	0	1
NG048	GX	0,008	16	16	0	1
NG055	GX	0,008	8	16	1	1
NG065	TJ	0,008	16	4	0	0
NG073	TJ	0,008	16	8	1	1
NG006	ZJ	0,016	16	8	0	1
NG008	ZJ	0,016	16	4	0	1
NG009	ZJ	0,016	16	8	1	1
NG010	ZJ	0,016	16	4	1	0
NG042	SH	0,016	16	8	1	0
NG049	GX	0,016	16	16	0	0
NG063	TJ	0,016	16	4	0	1
NG068	TJ	0,016	16	8	0	0
NG069	TJ	0,016	16	8	1	1
NG070	TJ	0,016	16	8	1	1
NG071	TJ	0,016	8	2	0	0
NG075	TJ	0,016	16	2	0	1
NG040	SH	0,03	32	32	0	0
NG041	SH	0,03	16	16	1	0
NG052	GX	0,03	32	16	1	1
NG053	GX	0,03	32	16	0	0
NG054	GX	0,03	16	16	1	0
NG056	GX	0,03	16	16	1	0
NG057	GX	0,03	16	16	0	1
NG002	ZJ	0,032	16	8	1	0
NG004	ZJ	0,032	16	8	0	0
NG012	ZJ	0,032	16	8	0	1
NG013	ZJ	0,032	16	8	1	1
NG015	ZJ	0,032	16	4	0	0
NG022	ZJ	0,032	8	8	1	0
NG064	TJ	0,032	16	16	0	0
NG072	TJ	0,032	16	8	0	0
NG023	SH	0,06	8	32	0	0
NG024	SH	0,06	16	8	1	0
NG027	SH	0,06	8	8	0	1
NG029	SH	0,06	32	8	1	1
NG030	SH	0,06	16	16	1	0
NG032	SH	0,06	16	16	0	1
NG035	SH	0,06	16	16	0	0
NG036	SH	0,06	16	16	0	0
NG037	SH	0,06	16	4	0	0
NG039	SH	0,06	16	8	0	0
NG059	GX	0,06	8	2	0	0
NG016	ZJ	0,125	16	8	0	1
NG018	ZJ	0,125	16	8	1	1
NG019	ZJ	0,125	32	8	1	0
NG020	ZJ	0,125	16	8	0	0
NG021	ZJ	0,125	16	8	0	1
NG025	SH	0,125	16	8	1	0
NG026	SH	0,125	32	16	0	1
NG031	SH	0,125	32	16	0	1
NG034	SH	0,125	16	8	0	1
NG038	SH	0,125	16	16	0	1
NG043	GX	0,125	8	8	0	0
NG044	GX	0,125	32	16	1	1
NG045	GX	0,125	16	8	1	1
NG046	GX	0,125	16	16	0	0
NG062	TJ	0,125	16	32	0	0
NG060	GX	0,25	8	16	0	0
NG014	ZJ	0,5	16	8	0	0
SS3160	NaN	NaN	NaN	NaN	NaN	NaN
NJ1711654	NaN	NaN	NaN	NaN	NaN	NaN
TFG-A2	NaN	NaN	NaN	NaN	NaN	NaN
TFG-B2	NaN	NaN	NaN	NaN	NaN	NaN
NCTC13484	NaN	NaN	NaN	NaN	NaN	NaN
FC498	NaN	NaN	NaN	NaN	NaN	NaN
FC460	NaN	NaN	NaN	NaN	NaN	NaN
FC428	NaN	NaN	NaN	NaN	NaN	NaN
FQ01	NaN	NaN	NaN	NaN	NaN	NaN
FQ82	NaN	NaN	NaN	NaN	NaN	NaN
FQ04	NaN	NaN	NaN	NaN	NaN	NaN
FQ84	NaN	NaN	NaN	NaN	NaN	NaN
FQ36	NaN	NaN	NaN	NaN	NaN	NaN
FQ20	NaN	NaN	NaN	NaN	NaN	NaN
FQ35	NaN	NaN	NaN	NaN	NaN	NaN
FQ48	NaN	NaN	NaN	NaN	NaN	NaN
FQ02	NaN	NaN	NaN	NaN	NaN	NaN
G97687	NaN	NaN	NaN	NaN	NaN	NaN
G7944	NaN	NaN	NaN	NaN	NaN	NaN
